pid,stake 11,stake10,stake9,stake8,stake7,stake6,stake5,stake4,stake 3
158,4,4,4,4,0,0,0,0,0
159,4,3,1,0,0,0,0,0,0
160,4,4,2,1,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0
162,3,4,2,1,0,0,0,0,0
163,4,3,3,4,3,0,0,0,0
164,1,0,0,0,0,0,0,0,0
165,4,4,1,0,0,0,0,0,0
166,4,4,3,1,1,0,0,0,0
167,4,4,4,3,1,1,0,0,0
168,4,3,0,0,0,0,0,0,0
169,4,4,0,0,0,0,0,0,0
170,4,4,4,3,2,1,0,0,0
171,3,4,0,0,0,0,0,0,0
172,2,0,0,0,0,0,0,0,0
173,0,1,0,0,0,0,0,0,0
174,4,4,4,3,4,0,0,1,0
175,3,4,3,4,0,0,0,0,0
176,4,4,4,3,2,1,0,0,0
177,4,4,4,2,2,1,1,0,0
178,3,3,3,4,3,0,0,0,0
179,3,3,3,2,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0
181,4,4,4,4,0,0,0,0,0
182,4,4,3,3,2,1,1,0,0
183,4,4,4,0,0,0,0,0,0
184,4,4,4,4,4,4,3,4,0
,,,,,,,,,
,,,,,,,,,
Each participant in the experiement was offered a series of binary choices between a lottery and several sure amounts of money.,,,,,,,,,
"For each participant, each choice was repeated 4 times.",,,,,,,,,
Numbers above are the number of times the same participant chose a sure amount of money over lottery.,,,,,,,,,
Lottery for this table: 80% of 12 GBP,,,,,,,,,
